Query_ID	PSI_Top_Hit	PSI_E_Value	PSI_Identity_(%)
mORF_06	gb|ELY21290.1| Tryptophanyl-tRNA synthetase, class Ib [Vreel...	0.0	100.0
mORF_10	gb|ELY22254.1| hypothetical protein HALTITAN_0825 [Vreelande...	0.0	100.0
mORF_11	ref|WP_009286036.1| hypothetical protein [Vreelandella titan...	3.02637e-128	100.0
mORF_12	ref|WP_009286699.1| MULTISPECIES: hypothetical protein [Halo...	1.52521e-144	100.0
